,total_counts_min,total_counts_max,n_genes_by_counts_min,n_genes_by_counts_max,pct_counts_mt_fraction_min,pct_counts_mt_fraction_max,target_sum,metric,n_top_genes,n_pcs,pca_random_factor,remove_doublets,clustering_threshold,clusters
aydan_120h_GSE195544,,,,,,,,correlation,2000,,3,FALSE,0.5,
dias_48h_EM,15000,80000,4000,10000,1,20,,correlation,2000,7,3,TRUE,0.5,"[2,3,4,5]"
dias_72h_EM,15000,80000,4000,10000,1,20,,correlation,2000,,3,TRUE,0.4,"[7,8,9,10,5,6]"
dias_96h_EM,15000,80000,4000,10000,1,20,,correlation,2000,,3,TRUE,0.4,"[3,5,6,7,8,9,10]"
dias_120h_EM,11000,110000,4000,12000,1,20,,correlation,2000,30,3,TRUE,0.5,"[12,13,14,17,18,19,20,21,22,7,25,26,16,9,4,5]"
dias_144h_EM,14000,140000,5000,12000,1,20,,correlation,2000,30,3,TRUE,0.5,"[20,21,27,28,9,22,23,24,13,25,26,15,18,19,17,11,5,6,7]"
mayran_120h_GSM7035396,,,,,0.8,5,,correlation,2000,,3,FALSE,0.5,
mayran_120h_GSM7035397,,,,,0.8,5,,correlation,2000,,3,FALSE,0.5,
prisca_120h_GSM7164729,,,,,0,1,,correlation,2000,,3,FALSE,0.5,
prisca_48h_GSM7164723,,,,,0,1,,correlation,2000,,3,FALSE,0.5,
prisca_72h_GSM7329489,,,,,0,1,,correlation,2000,,3,FALSE,0.5,
susanne_120h_GSM4040776,,,,,0.5,4.5,,correlation,2000,,3,FALSE,0.5,
susanne_120h_GSM4040777,,,,,0.5,4.5,,correlation,2000,,3,FALSE,0.5,
susanne_120h_GSM4040778,,,,,0.5,4.5,,correlation,2000,,3,FALSE,0.5,
susanne_120h_GSM4040779,,,,,0.5,4.5,,correlation,2000,,3,FALSE,0.5,
wolf_120h_GSM6508455,,,,,1.5,15,,correlation,2000,,3,FALSE,0.5,
wolf_120h_GSM6508456,,,,,1.5,15,,correlation,2000,,3,FALSE,0.5,
wolf_120h_GSM6508457,,,,,1.5,15,,correlation,2000,,3,FALSE,0.5,
wolf_72h_GSM6508453,,,,,2,8,,correlation,2000,,3,FALSE,0.5,
wolf_72h_GSM6508466,,,,,0.5,5,,correlation,2000,,3,FALSE,0.5,
wolf_72h_GSM6508467,,,,,0.5,5,,correlation,2000,,3,FALSE,0.5,
dias_120h_EM_old,6500,80000,2500,10000,1,20,,correlation,2000,,3,TRUE,0.5,"[12,13,14,17,18,19,20,21,22,7,25,26,16,9,4,5]"
dias_144h_EM_old,4500,80000,2000,10000,1,20,,correlation,2000,,3,TRUE,0.5,"[20,21,27,28,9,22,23,24,13,25,26,15,18,19,17,11,5,6,7]"
dias_120h_EM_1,5500,80000,2500,10000,1,20,,correlation,2000,,3,TRUE,0.5,"[12,13,14,17,18,19,20,21,22,7,25,26,16,9,4,5]"
dias_144h_EM_1,4500,80000,2500,10000,1,20,,correlation,2000,,3,TRUE,0.5,"[20,21,27,28,9,22,23,24,13,25,26,15,18,19,17,11,5,6,7]"
dias_120h_EM_2,4500,80000,2500,10000,1,20,,correlation,2000,,3,TRUE,0.5,"[12,13,14,17,18,19,20,21,22,7,25,26,16,9,4,5]"
dias_144h_EM_2,6000,100000,4000,11000,1,20,,correlation,2000,,3,TRUE,0.5,"[20,21,27,28,9,22,23,24,13,25,26,15,18,19,17,11,5,6,7]"
